"Away","Home","AwayScore","HomeScore","week","Winner","Loser","Delta"
"Green Baye's Theorem","Team Guns N' Rosas",133,120.08,"9","Green Baye's Theorem","Team Guns N' Rosas",12.92
"Gosset's T-Down","Green Baye's Theorem",145.26,147.88,"12","Green Baye's Theorem","Gosset's T-Down",2.62
"Epsilon Ballers","Green Baye's Theorem",97.9,90.36,"13","Epsilon Ballers","Green Baye's Theorem",7.54000000000001
"Green Baye's Theorem","2-2-2 Mega-H-Ertz",105.1,75.64,"14","Green Baye's Theorem","2-2-2 Mega-H-Ertz",29.46
"Team Guns N' Rosas","Epsilon Ballers",112.64,99.7,"1","Team Guns N' Rosas","Epsilon Ballers",12.94
"Epsilon Ballers","Gosset's T-Down",128.86,154.48,"6","Gosset's T-Down","Epsilon Ballers",25.62
"2-2-2 Mega-H-Ertz","Epsilon Ballers",82.58,87.22,"7","Epsilon Ballers","2-2-2 Mega-H-Ertz",4.64
"Viking Joe Lindquist","Epsilon Ballers",68.8,86.8,"9","Epsilon Ballers","Viking Joe Lindquist",18
"Epsilon Ballers","Team Guns N' Rosas",163.32,112.22,"10","Epsilon Ballers","Team Guns N' Rosas",51.1
"Team Guns N' Rosas","Epsilon Ballers",79,132.78,"14","Epsilon Ballers","Team Guns N' Rosas",53.78
"Team Guns N' Rosas","Viking Joe Lindquist",133.3,96.2,"6","Team Guns N' Rosas","Viking Joe Lindquist",37.1
"Team Guns N' Rosas","Gosset's T-Down",125.4,130.02,"8","Gosset's T-Down","Team Guns N' Rosas",4.62
"2-2-2 Mega-H-Ertz","Team Guns N' Rosas",138.92,86.58,"11","2-2-2 Mega-H-Ertz","Team Guns N' Rosas",52.34
"2-2-2 Mega-H-Ertz","Gosset's T-Down",126.26,106.84,"1","2-2-2 Mega-H-Ertz","Gosset's T-Down",19.42
"Viking Joe Lindquist","2-2-2 Mega-H-Ertz",114.04,115.32,"2","2-2-2 Mega-H-Ertz","Viking Joe Lindquist",1.27999999999999
"Gosset's T-Down","2-2-2 Mega-H-Ertz",98.5,140.42,"9","2-2-2 Mega-H-Ertz","Gosset's T-Down",41.92
"2-2-2 Mega-H-Ertz","Viking Joe Lindquist",150.9,148.4,"10","2-2-2 Mega-H-Ertz","Viking Joe Lindquist",2.5
"Viking Joe Lindquist","Gosset's T-Down",93.9,128.12,"5","Gosset's T-Down","Viking Joe Lindquist",34.22
"Gosset's T-Down","Viking Joe Lindquist",152.7,138.4,"13","Gosset's T-Down","Viking Joe Lindquist",14.3
