Id,label,PredictedLabel
0,0.999897291,1
1,0.999902555,1
2,0.998916947,1
3,0.999372088,1
4,0.998599391,1
5,0.011259882,0
6,0.009769593,0
7,0.0005497,0
8,0.005115172,0
9,0.99970356,1
10,0.001326671,0
11,0.006668354,0
12,0.003913371,0
13,0.006884713,0
14,0.003632602,0
15,0.006073639,0
16,0.999937431,1
17,0.999975865,1
18,0.999551684,1
19,2.21E-05,0
20,0.000383063,0
21,0.000383063,0
22,0.008936274,0
23,0.999893622,1
24,0.999998015,1
25,0.999985933,1
26,0.999943613,1
27,0.999423978,1
28,0.99997839,1
29,0.998568277,1
30,0.999873464,1
31,0.998675575,1
32,0.99999049,1
33,0.99290284,1
34,0.999574749,1
35,0.007675571,0
36,0.000317099,0
37,0.022484033,0
38,0.007673639,0
39,0.026632577,0
40,0.000674653,0
41,0.007675571,0
42,0.000879291,0
43,0.009110101,0
44,0.000837276,0
45,0.001997716,0
46,0.007675571,0
47,0.004329343,0
48,0.000686845,0
49,0.001160366,0
50,0.01324739,0
51,0.037683318,0
52,0.002937013,0
53,0.01324739,0
54,0.001160513,0
55,0.001160807,0
56,0.007684644,0
57,0.007676536,0
58,0.007675571,0
59,0.007673639,0
60,0.002937013,0
61,0.009111246,0
62,0.007674605,0
63,0.000879069,0
64,0.009111246,0
65,0.007674605,0
66,0.007672677,0
67,0.000686932,0
68,0.000680299,0
69,0.001997716,0
70,0.007673639,0
71,0.038350433,0
72,0.009111246,0
73,0.004231155,0
74,0.001160513,0
75,0.004328798,0
76,0.020456546,0
77,0.008163001,0
78,0.000431065,0
79,0.00116066,0
80,0.004327706,0
81,0.000837276,0
82,0.000687019,0
83,0.007672677,0
84,0.007675571,0
85,0.004006902,0
86,0.007674605,0
87,0.014815539,0
88,0.060084151,0
89,0.002937013,0
90,0.004327706,0
91,0.007674605,0
92,0.014815539,0
93,0.003718574,0
94,0.001050132,0
95,0.00136065,0
96,0.004328798,0
97,0.002405237,0
98,4.69E-05,0
99,0.999996547,1
100,0.998727434,1
101,0.999956098,1
102,0.999993219,1
103,6.02E-05,0
104,0.000323994,0
105,0.005006899,0
106,0.99958932,1
107,0.993677159,1
108,0.995412952,1
109,0.999817502,1
110,0.002000077,0
111,0.998631509,1
112,0.999837956,1
113,0.999862467,1
114,0.999827974,1
115,0.999910623,1
116,0.999920498,1
117,0.999813801,1
118,0.999838501,1
119,0.999980802,1
120,0.999995459,1
121,0.999895014,1
122,0.999942864,1
123,0.999917885,1
124,0.999981868,1
125,0.999921495,1
126,0.999999754,1
127,0.997061179,1
128,5.77E-05,0
129,0.001015464,0
130,0.996091489,1
131,0.004506906,0
132,0.001532059,0
133,0.001243695,0
134,0.000125178,0
135,0.000310853,0
136,4.34E-05,0
137,0.000149246,0
138,0.001632097,0
139,0.000802714,0
140,0.980419842,1
141,0.999821787,1
142,0.000455158,0
143,0.000848559,0
144,0.033177449,0
145,0.005548413,0
146,0.00194466,0
147,0.030186814,0
148,0.000203655,0
149,0.001502361,0
150,0.158278234,0
151,0.999955822,1
152,0.999804246,1
153,0.997482373,1
154,0.99898058,1
155,0.999995596,1
156,0.99950599,1
157,1,1
158,0.999822325,1
159,0.999844861,1
160,0.008669337,0
161,0.000234783,0
162,0.000207772,0
163,0.890092391,1
164,4.15E-05,0
165,8.88E-05,0
166,0.000375509,0
167,0.000240454,0
168,0.99946439,1
169,0.999867181,1
170,0.001141669,0
171,0.004175534,0
172,2.56E-05,0
173,0.999353116,1
174,0.008303247,0
175,0.006188241,0
176,0.004078238,0
177,0.001902579,0
178,1.66E-10,0
179,8.39E-08,0
