pn_id,usma_grad_yr,ma100,ma103,ma104,ma153,ma205,ma255,ma206,core_avg,cqpa,ccps,timeframe
C87995939,2018,,0.917,0.94202666,,0.93568527,,0.89,0.92117798,3.892,3.26281452,17-1
C75993115,2019,,0.9169,0.87216666,,,,0.76635,0.85180555,3.137,2.94385839,17-1
C20046910,2019,,0.889075,0.87657666,,,,0.79519191,0.85361452,3.177,2.89241028,17-1
C33382148,2019,,,,0.83939393,,0.87132313,0.9239,0.87820568,3.328,2.91200805,17-1
C43298031,2019,,,,0.9029624,,0.9040864,0.9526,0.91988293,3.602,3.31771278,17-1
C27987882,2019,,0.89558,0.90816666,,,,0.902,0.90191555,3.467,3.15457487,17-1
C52594345,2019,,,,0.9589,,0.98334833,0.988,0.97674944,4.182,3.6135416,17-1
C82004599,2018,,0.79596774,0.77967676,,0.83475,,0.83948,0.81246862,3.231,3.17168784,17-1
C66947553,2019,,,,0.86623,,0.93778577,0.8983,0.90077192,3.595,3.14487696,17-1
C20762660,2019,,0.832685,0.92845117,,,,0.936,0.89904539,3.59,3.13893294,17-1
C71325660,2019,,,,0.96561,,0.95589558,0.955,0.95883519,4.062,3.2180531,17-1
C22847880,2019,,0.86450761,0.935,,,,0.9095,0.90300253,3.684,3.1992836,17-1
C08435214,2019,,,,0.88812,,0.93718721,0.9116,0.9123024,3.342,2.87683606,17-1
C79799948,2018,,0.66,0.65673333,,0.6962,,0.75595,0.71467666,2.203,2.21593475,17-1
C74933857,2019,,0.891855,0.93699,,0.9015,,0.89809,0.90710875,3.258,3.01878166,17-1
C27216671,2019,,,,0.80395,,0.85583258,0.77847,0.81275086,3.126,2.77964973,17-1
C59549091,2020,,0.7006,0.6834,,,,0.62681,0.6960325,0,0,17-1
C74055692,2019,,0.933,,,0.9079,,0.902,0.9143,3.263,3.04252601,17-1
C09540689,2019,,0.9451,,,0.9155,,0.963,0.9412,3.713,3.18314695,17-1
C57499315,2019,,,,0.92798,,0.90595409,0.927,0.92031136,3.304,2.66422296,17-1
C18911273,2019,,0.80071,0.70683333,,,,0.53494,0.68082777,1.605,2.22943044,17-1
C07261729,2018,0.74411764,,0.82783333,,0.6935,,0.7295,0.74873774,2.343,2.53250551,17-1
C75016171,2019,,,,0.95352,,0.96570657,0.96825,0.96249219,3.929,3.20772505,17-1
C16526970,2019,,,,0.88378,,0.92243924,0.86586,0.89069308,3.507,3.10957837,17-1
C00683121,2019,,,,0.897875,,0.86836183,0.9515,0.90591227,3.736,3.1912179,17-1
C06302054,2019,,,,0.926375,,0.96450945,0.973,0.95462815,3.76,3.2529099,17-1
C02686245,2019,,,,0.92916,,0.9360936,0.96125,0.94216786,3.876,3.19443011,17-1
C28171066,2019,,0.84492,0.93173333,,,,0.821,0.86588444,2.934,2.85654855,17-1
C82122017,2019,,,,0.95445,,0.96367236,0.9694,0.96250745,3.887,3.34356236,17-1
C91562879,2019,,0.819075,0.78066,,,,0.75342,0.784385,3.103,2.95639443,17-1
C40041671,2019,,,,0.929305,,0.96692169,0.89423,0.93015223,3.965,3.42470551,17-1
C57886431,2019,,0.9265,0.978,,,,0.94,0.94816666,3.657,2.99499631,17-1
C41110714,2019,,0.906955,0.94616666,,,,0.943,0.93204055,3.536,2.98838449,17-1
C01343525,2019,,0.786,0.70418666,,0.7208,,0.557,0.65390333,1.693,1.8060813,17-1
C63259777,2019,,0.895,0.95093,,,,0.92213,0.92268666,3.034,2.93535829,17-1
C84313465,2019,,0.91109,0.93066666,,,,0.8047,0.88215222,3.46,2.9566083,17-1
C19420716,2019,,,,0.90921,,0.91821782,0.967,0.93147594,3.887,3.33441877,17-1
C40000181,2019,,0.841,0.80266666,,,,0.83637,0.82667888,3.309,3.20289159,17-1
C02900281,2019,,,,0.779245,,0.81535103,0.81742,0.80400534,2.805,2.78024578,17-1
C60386080,2019,,0.853195,0.87916666,,,,0.76818,0.83351388,2.53,2.24870896,17-1
C56236745,2019,,,,0.902715,,0.93113411,0.9415,0.92511637,3.647,3.1485579,17-1
C35688680,2019,,,,0.869895,,0.82326732,0.848,0.8470541,3.153,2.89795661,17-1
C78218843,2019,,0.9535,,,0.9575,,0.82046,0.91048666,3.532,3.25601053,17-1
C13863540,2019,,,,0.811675,,0.790054,0.791,0.79757633,3.042,2.96592402,17-1
C08988050,2019,,,,0.958495,,0.96062106,0.935,0.95137202,3.965,3.58206415,17-1
C88524604,2019,,0.74573,0.69063333,,,,0.791,0.74245444,2.903,2.93277884,17-1
C74992486,2019,,0.931,0.91193333,,,,0.8583,0.90041111,3.108,3.03295374,17-1
C05719819,2019,,0.824795,0.83133333,,,,0.7245,0.79354277,2.534,2.3743453,17-1
C12157688,2019,,,,0.92275,,0.92438793,0.887,0.91137931,3.768,3.2847023,17-1
C63681629,2019,,0.8185,0.89542372,,,,0.816,0.8433079,2.79,2.60478568,17-1
C63567122,2019,,,,0.9569,,0.990099,0.979,0.975333,4.183,3.68530655,17-1
C91152608,2019,,,,0.77219,,0.7940819,0.82,0.79542396,2.718,2.75477171,17-1
C68265712,2019,,,,0.94655,,0.98447344,0.973,0.96800781,3.912,3.14728403,17-1
C88303310,2019,,0.7382,,,0.79895,,0.6873,0.74148333,2.527,2.55588722,17-1
C28248264,2019,,0.9214,0.83,,0.8541,,0.74619,0.8379225,2.863,2.70797062,17-1
C90087707,2019,,,,0.93889,,0.90375787,0.935,0.92588262,3.753,3.27352595,17-1
C45630352,2019,,0.82112626,,,0.8032,,0.75916,0.79449542,2.292,2.48679686,17-1
C23916115,2019,,0.89534,0.85708333,,,,0.84048,0.86430111,3.121,2.90631533,17-1
C70429815,2019,,,,0.923695,,0.92236723,0.964,0.93668741,3.685,3.24622393,17-1
C33044765,2019,,,,0.912,,0.97274527,0.993,0.95924842,3.785,3.2971077,17-1
C22481012,2019,,,,0.923475,,0.9380513,0.94,0.9338421,3.618,3.10220718,17-1
C86707196,2019,,,,0.87282,,0.87710514,0.95674,0.90222171,3.28,3.07936239,17-1
C69969879,2019,,0.84336,0.87077333,,,,0.84858,0.85423777,2.987,2.69525242,17-1
C68708416,2018,,0.62058793,0.70133333,,0.69925,,0.69081,0.69914702,0,0,17-1
C40626402,2019,,,,0.87727272,,0.94246174,0.979,0.93291148,3.686,3.23236132,17-1
C56707794,2019,,0.849,0.84896333,,,,0.83997,0.84597777,2.827,2.46241856,17-1
C21444895,2019,,0.74617587,0.80500333,,,,0.657,0.73605973,2.322,2.08175159,17-1
C19879378,2019,,0.93696,,,0.934,,0.916,0.92898666,3.544,3.01165724,17-1
C51797412,2019,,0.85318,0.79568666,,,,0.81828,0.82238222,2.661,2.31804109,17-1
C68785779,2019,,,,0.813195,,0.80580108,0.85923,0.82607536,2.983,3.0077939,17-1
C58650402,2019,,0.89829,0.8835,,0.909,,0.865,0.8889475,3.238,2.9260006,17-1
C51471702,2019,,,,0.89089,,0.8460126,0.931,0.88930086,3.398,2.97635937,17-1
C62262749,2019,,,,0.92897,,0.90522052,0.8803,0.90483017,3.369,3.05246663,17-1
C87583009,2019,,0.79237,0.79295,,,,0.78527,0.79019666,2.228,2.17532992,17-1
C17628698,2019,,,,0.90626,,0.93294329,0.9035,0.91423443,3.921,3.32404971,17-1
C85370136,2019,,,,0.876,,0.9020702,0.8965,0.8915234,3.337,3.01225519,17-1
C39445897,2019,,0.8902,0.88950333,,,,0.85778787,0.87916373,3.196,2.92693925,17-1
C43956769,2019,,,,0.87398,,0.89790279,0.91,0.89396093,3.608,3.36015964,17-1
C62293160,2019,,0.734775,0.75295333,,,,0.727,0.73824277,2.075,2.32194233,17-1
C66517110,2019,,,,0.94103,,0.90660334,0.962,0.93654444,4.007,3.52798104,17-1
C23252544,2018,,0.60172,0.77266666,,0.69025,,0.7105,0.71023633,2.294,1.93570542,17-1
C86882780,2019,,,,0.967515,,0.93344734,0.944,0.94832078,3.973,3.36729622,17-1
C31049343,2019,,,,0.865305,,0.90832583,0.87765,0.88376027,3.253,3.087955,17-1
C62100482,2019,,0.970085,,,,0.90976597,0.9005,0.92678365,3.566,2.87622166,17-1
C60490953,2019,,,,0.9619,,0.96327632,0.957,0.96072544,3.907,3.39304638,17-1
C57985562,2019,,0.882,0.85816666,,,,0.78715,0.84243888,3.138,2.99901676,17-1
C14023755,2019,,0.877485,0.9162,,,,0.89452,0.89606833,3.612,3.12174821,17-1
C91951371,2019,,,,0.93168,,0.8950945,0.8695,0.89875816,3.354,2.8986392,17-1
C97726442,2019,,0.70929,0.71833333,,,,0.70659,0.71140444,2.578,2.56070399,17-1
C84308509,2019,,,,0.92887692,,0.96585255,0.969,0.95457649,4.015,3.51242733,17-1
C69287759,2019,,0.860985,0.92066666,,,,0.88403,0.88856055,3.446,3.0853107,17-1
C22645395,2018,,0.6165,0.76316666,,0.6833,,0.69122,0.70438733,2.028,2.0165112,17-1
C93330051,2019,,,,0.875945,,0.9560801,0.938,0.9233417,3.226,2.86388826,17-1
C46604627,2019,,0.977885,,,0.97125,,0.92,0.95637833,3.702,3.21446109,17-1
C07731089,2019,,,,0.819845,,0.8080693,0.88214,0.83668476,3.124,2.74331212,17-1
C95985152,2020,,0.745,0.8236,,,,0.727,0.7652,2.53,2.49990368,17-1
C81542068,2019,,0.8345,0.81721273,,,,0.81122,0.82097757,2.718,2.27400875,17-1
C68153642,2018,,0.914,0.97003,,0.9143,,0.82620512,0.90613378,3.512,3.18957472,17-1
C82261142,2019,,0.789435,0.76133333,,,,0.78677,0.77917944,2.932,2.67139554,17-1
C20964380,2019,,,,0.87363,,0.87466246,0.84519,0.86449415,3.227,2.82591748,17-1
C87601810,2019,,,,0.96477,,0.97524302,0.95125,0.96375434,3.813,3.23739457,17-1
C52047302,2019,,,,0.73841,0.84795,,0.88349,0.82328333,3.02,2.46454334,17-1
C20388819,2019,,,,0.83285,,0.91918991,0.87558,0.8758733,3.3,2.9396615,17-1
C30397920,2019,,0.92748,0.96283333,,0.8634,,0.917,0.91767833,3.463,3.00775504,17-1
C56641680,2019,,,,0.937225,,0.96278127,0.956,0.95200209,3.907,3.15654206,17-1
C59235738,2019,,0.73501326,0.75649122,,0.64675,,0.757,0.74725689,2.283,2.28125906,17-1
C34399352,2019,,,,0.9751282,,0.98019801,0.987,0.9807754,4.158,3.6513505,17-1
C43369048,2019,,0.874655,0.81004333,,,,0.79916,0.82795277,3.016,2.86833858,17-1
C48317219,2019,,0.90796,0.95185185,,0.9475,,0.9039,0.92780296,3.453,2.98762274,17-2
C69540228,2019,,0.9475,0.92256666,,0.97285714,,0.91001,0.93823345,3.19,2.87090087,17-2
C00153923,2019,,0.761705,0.76708333,,,,0.7724,0.76706277,2.5,2.40121579,17-2
C09452983,2019,,0.854745,0.79266666,,0.9013,,0.8506,0.84982791,2.974,2.55154347,17-2
C13091483,2019,,0.892,0.97626666,,0.9355,,0.91516,0.92973166,3.573,3.06381798,17-2
C58974683,2018,,0.84525,0.84698666,,0.807,,0.9052,0.85110916,2.856,2.78523088,17-2
C39377298,2019,,0.880765,0.86115,,0.9295,,0.875,0.88660375,3.062,3.06125116,17-2
C07462155,2019,,0.9315,0.95726666,,0.9613,,0.9305,0.94514166,3.811,3.19350863,17-2
C36250200,2019,,0.902645,0.88033333,,0.9266,,0.88343,0.89825208,3.373,3.07390165,17-2
C67582363,2019,,0.837995,0.86833333,,,,0.83525,0.84719277,3.025,2.95102811,17-2
C43151744,2019,,0.85454545,0.89732,,,,0.81046,0.85410848,3.249,2.88228607,17-2
C34293474,2019,,0.880825,0.83,,0.8585,,0.7255,0.82370625,2.655,2.59133339,17-2
C96757805,2019,,0.813575,0.9465,,0.8327,,0.83501,0.85694625,2.769,2.45881033,17-2
C59175699,2019,0.835,0.74925,0.78485,,,,0.72624,0.773835,2.102,2.30870104,17-2
C04054720,2019,,0.80113,0.77725,,,,0.73145,0.76994333,2.782,2.62554646,17-2
C50171698,2019,0.88595,0.85186,0.8395,,,,0.823,0.8500775,2.922,2.68549943,17-2
C56150183,2019,,0.74157,0.77933333,,0.7586,,0.48028,0.71783666,2.033,2.07746267,17-2
C42859590,2020,,,,0.99236666,,,0.956,0.97418333,3.727,3.30371761,17-2
C54897566,2019,,0.85601,0.88233333,,0.8114,,0.81798,0.84193083,2.568,2.32500553,17-2
C00671226,2019,,0.9284,0.97165333,,0.956,,0.93021,0.94656583,3.661,3.12037754,17-2
C40465914,2019,,0.881275,0.85556666,,0.8188,,0.7655,0.83028541,2.794,2.66770577,17-2
C91612161,2019,,0.75857435,0.64709333,,,,0.69003,0.69856589,2.118,2.17284203,17-2
C94823346,2019,,0.80625,0.87333333,,0.8813,,0.78686,0.83693583,2.714,2.60490727,17-2
C67579765,2019,,0.85548,0.79186666,,,,0.7909,0.81274888,2.794,2.4158206,17-2
C52497536,2019,,0.8897,0.94911666,,0.9205,,0.975,0.93357916,3.462,3.00382328,17-2
C02662536,2019,,0.9776,0.96074333,,,,0.8527,0.93034777,3.468,2.96173954,17-2
C75443646,2019,,0.7372,0.74266666,,0.68325,,0.73776,0.72521916,2.114,2.19230914,17-2
C69103676,2019,,0.6915,0.66086666,,,,0.6758,0.67605555,2.129,2.37322736,17-2
C97051114,2019,,0.576115,0.75625,,,,0.7011,0.70356125,2.117,2.29099655,17-2
C88792208,2019,,0.55407,0.6861,,,,0.7895,0.67331125,2.323,2.36450458,17-2
C25003015,2019,,0.923745,0.84629333,,,,0.82742,0.86581944,3.317,3.05419707,17-2
C22582945,2018,0.8435,,0.77233333,,0.74135,,0.69371,0.76272333,2.229,2.21374202,17-2
C10216111,2019,,0.78015,0.88783333,,0.878,,0.84875,0.84868333,2.853,2.69410276,17-2
C54495783,2018,,0.71131578,0.731,,0.65541164,,0.81173,0.74103148,2.575,2.28142977,17-2
C44928857,2019,,0.8955,0.94483333,,,,0.87825,0.90619444,3.146,2.89414978,17-2
C83295985,2019,,0.83117,0.84303333,,0.8562,,0.81451,0.83622833,2.675,2.40919638,17-2
